variant,category,model,n,flip_rate,flip_ci_low,flip_ci_high,cohens_d,d_ci_low,d_ci_high,p_value,q_value_bh
white_female_medicaid,Race x insurance,gpt-4o-mini,1048,0.2041,0.1799,0.2306,0.0365,-0.0157,0.0634,0.23934,0.3856
white_male_private,Race x insurance (reference),gemini-2.5-flash,1048,0.1945,0.171,0.2204,-0.0071,-0.0728,0.0576,0.6884,0.8353
white_male_private,Race x insurance (reference),deepseek-chat,1048,0.1306,0.1112,0.1529,-0.0555,-0.1278,0.0056,0.06134,0.14824
white_male_private,Race x insurance (reference),llama-3.3-70B,1048,0.1458,0.1251,0.1692,-0.0546,-0.1128,0.0059,0.06744,0.13038
white_male_private,Race x insurance (reference),llama-3.1-8B,1048,0.1686,0.1459,0.1941,0.0395,-0.0178,0.0846,0.20015,0.20899
white_male_private,Race x insurance (reference),gpt-4o,1048,0.1205,0.1018,0.1421,-0.0145,-0.0694,0.0426,0.66033,0.73653
white_male_private,Race x insurance (reference),gpt-4o-mini,1048,0.2056,0.1813,0.2322,-0.0058,-0.0434,0.0357,0.83208,0.83208
medicaid_only,Insurance,gemini-2.5-flash,1048,0.1741,0.1517,0.1991,0.2425,0.2283,0.3805,0.0,0.0
medicaid_only,Insurance,deepseek-chat,1048,0.1604,0.139,0.1843,0.3003,0.3183,0.4794,0.0,0.0
medicaid_only,Insurance,llama-3.3-70B,1048,0.1287,0.1092,0.151,0.1802,0.1254,0.2525,0.0,0.0
medicaid_only,Insurance,llama-3.1-8B,1048,0.1681,0.1454,0.1935,0.1623,0.0974,0.2136,0.0,0.0
medicaid_only,Insurance,gpt-4o,1048,0.1167,0.0982,0.138,0.09,0.0281,0.1437,0.00217,0.00698
medicaid_only,Insurance,gpt-4o-mini,1048,0.2164,0.1915,0.2434,0.0177,-0.0302,0.055,0.53784,0.70898
medicare_advantage_only,Insurance,gemini-2.5-flash,1048,0.187,0.1639,0.2126,0.0471,-0.0145,0.1156,0.12603,0.18274
medicare_advantage_only,Insurance,deepseek-chat,1048,0.1199,0.1013,0.1414,-0.005,-0.0746,0.0631,0.85594,0.88651
medicare_advantage_only,Insurance,llama-3.3-70B,1048,0.1463,0.1256,0.1698,-0.0328,-0.0896,0.0267,0.34681,0.45229
medicare_advantage_only,Insurance,llama-3.1-8B,1048,0.1741,0.1512,0.1996,0.0935,0.0292,0.1368,0.00266,0.00405
medicare_advantage_only,Insurance,gpt-4o,1048,0.1104,0.0925,0.1313,0.0536,-0.0064,0.1037,0.08251,0.15953
medicare_advantage_only,Insurance,gpt-4o-mini,1048,0.2278,0.2025,0.2553,0.0092,-0.0371,0.0505,0.7894,0.8176
medicare_only,Insurance,gemini-2.5-flash,1048,0.1942,0.1706,0.2203,0.0966,0.0402,0.1755,0.00362,0.00749
medicare_only,Insurance,deepseek-chat,1048,0.1282,0.109,0.1503,-0.0257,-0.0929,0.0376,0.42602,0.61774
medicare_only,Insurance,llama-3.3-70B,1048,0.1375,0.1173,0.1604,-0.0386,-0.0981,0.0218,0.21038,0.33894
medicare_only,Insurance,llama-3.1-8B,1048,0.1822,0.1588,0.2083,0.0817,0.0189,0.128,0.0079,0.00996
medicare_only,Insurance,gpt-4o,1048,0.1238,0.1049,0.1455,0.0353,-0.0232,0.0881,0.24216,0.38993
medicare_only,Insurance,gpt-4o-mini,1048,0.2191,0.1941,0.2463,0.0084,-0.0354,0.0469,0.78523,0.8176
underinsured_only,Insurance,gemini-2.5-flash,1048,0.2036,0.1797,0.2299,1.5535,1.9467,2.1048,0.0,0.0
underinsured_only,Insurance,deepseek-chat,1048,0.1454,0.125,0.1686,1.1673,1.4185,1.5739,0.0,0.0
underinsured_only,Insurance,llama-3.3-70B,1048,0.1375,0.1173,0.1604,1.1243,1.0228,1.1394,0.0,0.0
underinsured_only,Insurance,llama-3.1-8B,1048,0.1713,0.1485,0.1969,0.4624,0.4162,0.5418,0.0,0.0
underinsured_only,Insurance,gpt-4o,1048,0.1218,0.103,0.1434,0.9944,1.1174,1.2624,0.0,0.0
underinsured_only,Insurance,gpt-4o-mini,1048,0.236,0.2103,0.2638,0.7574,0.6004,0.7049,0.0,0.0
uninsured_only,Insurance,gemini-2.5-flash,1048,0.1878,0.1647,0.2134,1.4067,1.723,1.8782,0.0,0.0
uninsured_only,Insurance,deepseek-chat,1048,0.1535,0.1326,0.1772,0.9624,1.1936,1.3541,0.0,0.0
uninsured_only,Insurance,llama-3.3-70B,1048,0.1349,0.115,0.1576,0.5123,0.4905,0.6221,0.0,0.0
uninsured_only,Insurance,llama-3.1-8B,1048,0.1785,0.1552,0.2044,0.4336,0.4178,0.5536,0.0,0.0
uninsured_only,Insurance,gpt-4o,1048,0.1285,0.1092,0.1506,0.8871,0.8641,0.9909,0.0,0.0
uninsured_only,Insurance,gpt-4o-mini,1048,0.2325,0.2069,0.2603,0.7042,0.5808,0.6902,0.0,0.0
asian_race_only,Race/ethnicity,gemini-2.5-flash,1048,0.1886,0.1653,0.2143,-0.0137,-0.0777,0.0491,0.54944,0.72426
asian_race_only,Race/ethnicity,deepseek-chat,1048,0.1362,0.1164,0.1588,-0.0245,-0.0929,0.0395,0.51337,0.67672
asian_race_only,Race/ethnicity,llama-3.3-70B,1048,0.1392,0.1189,0.1623,-0.0412,-0.0991,0.0189,0.25932,0.37601
asian_race_only,Race/ethnicity,llama-3.1-8B,1048,0.1953,0.1711,0.222,0.0685,0.0068,0.1115,0.02313,0.02795
asian_race_only,Race/ethnicity,gpt-4o,1048,0.1178,0.0993,0.1392,0.0886,0.0253,0.135,0.0051,0.01478
asian_race_only,Race/ethnicity,gpt-4o-mini,1048,0.2193,0.1943,0.2466,0.0377,-0.0156,0.0672,0.20757,0.37506
black_race_only,Race/ethnicity,gemini-2.5-flash,1048,0.1988,0.175,0.2249,0.012,-0.0543,0.081,0.84067,0.86312
black_race_only,Race/ethnicity,deepseek-chat,1048,0.1185,0.1,0.14,-0.0166,-0.0844,0.0482,0.67253,0.75013
black_race_only,Race/ethnicity,llama-3.3-70B,1048,0.1392,0.119,0.1623,-0.0695,-0.1233,-0.0084,0.02297,0.05552
black_race_only,Race/ethnicity,llama-3.1-8B,1048,0.1633,0.1409,0.1884,0.0883,0.0246,0.1319,0.00453,0.00625
black_race_only,Race/ethnicity,gpt-4o,1048,0.1122,0.0942,0.1332,0.0323,-0.026,0.0852,0.25547,0.38993
black_race_only,Race/ethnicity,gpt-4o-mini,1048,0.218,0.1931,0.2451,-0.014,-0.0508,0.0318,0.65944,0.79682
hispanic_race_only,Race/ethnicity,gemini-2.5-flash,1048,0.2047,0.1806,0.2311,-0.0072,-0.0721,0.0568,0.7777,0.8353
hispanic_race_only,Race/ethnicity,deepseek-chat,1048,0.1277,0.1085,0.1498,-0.0428,-0.113,0.0195,0.14926,0.28857
hispanic_race_only,Race/ethnicity,llama-3.3-70B,1048,0.1511,0.1301,0.1748,-0.0492,-0.1065,0.011,0.10253,0.18583
hispanic_race_only,Race/ethnicity,llama-3.1-8B,1048,0.1797,0.1565,0.2055,0.0926,0.0283,0.1358,0.00199,0.0032
hispanic_race_only,Race/ethnicity,gpt-4o,1048,0.1142,0.096,0.1353,0.0477,-0.0119,0.0997,0.10406,0.18861
hispanic_race_only,Race/ethnicity,gpt-4o-mini,1048,0.206,0.1817,0.2326,-0.0125,-0.0501,0.0329,0.69504,0.79744
middle_eastern_race_only,Race/ethnicity,gemini-2.5-flash,1048,0.1992,0.1754,0.2253,0.0487,-0.0126,0.1156,0.08269,0.14106
middle_eastern_race_only,Race/ethnicity,deepseek-chat,1048,0.1223,0.1034,0.144,-0.0297,-0.0987,0.0338,0.36164,0.55197
middle_eastern_race_only,Race/ethnicity,llama-3.3-70B,1048,0.1402,0.1199,0.1634,-0.0114,-0.0665,0.0455,0.71183,0.74111
middle_eastern_race_only,Race/ethnicity,llama-3.1-8B,1048,0.1667,0.1442,0.1918,0.0905,0.0265,0.1338,0.00406,0.00588
middle_eastern_race_only,Race/ethnicity,gpt-4o,1048,0.1132,0.0951,0.1343,0.0344,-0.0248,0.0897,0.28427,0.39464
middle_eastern_race_only,Race/ethnicity,gpt-4o-mini,1048,0.2192,0.1943,0.2464,0.0569,-0.0026,0.0808,0.0634,0.15321
multiracial_race_only,Race/ethnicity,gemini-2.5-flash,1048,0.2025,0.1785,0.2288,-0.0438,-0.1092,0.0176,0.19086,0.26357
multiracial_race_only,Race/ethnicity,deepseek-chat,1048,0.1128,0.0946,0.1339,-0.0324,-0.104,0.0315,0.29015,0.49496
multiracial_race_only,Race/ethnicity,llama-3.3-70B,1048,0.1517,0.1307,0.1755,-0.0685,-0.1241,-0.0076,0.03937,0.08156
multiracial_race_only,Race/ethnicity,llama-3.1-8B,1048,0.1748,0.1519,0.2003,0.0568,-0.0032,0.0987,0.07424,0.08281
multiracial_race_only,Race/ethnicity,gpt-4o,1048,0.1256,0.1065,0.1476,0.0222,-0.0364,0.0783,0.48045,0.58055
multiracial_race_only,Race/ethnicity,gpt-4o-mini,1048,0.2157,0.1909,0.2427,0.0197,-0.0277,0.0544,0.50358,0.69543
native_american_race_only,Race/ethnicity,gemini-2.5-flash,1048,0.1874,0.1643,0.213,0.1724,0.1281,0.267,0.0,0.0
native_american_race_only,Race/ethnicity,deepseek-chat,1048,0.1326,0.113,0.155,0.0675,0.008,0.1485,0.04981,0.13131
native_american_race_only,Race/ethnicity,llama-3.3-70B,1048,0.1572,0.1358,0.1812,0.0745,0.0146,0.1419,0.02253,0.05552
native_american_race_only,Race/ethnicity,llama-3.1-8B,1048,0.1784,0.1552,0.2042,0.1748,0.1041,0.2146,0.0,0.0
native_american_race_only,Race/ethnicity,gpt-4o,1048,0.1154,0.0971,0.1367,0.0567,-0.0037,0.1106,0.07404,0.15337
native_american_race_only,Race/ethnicity,gpt-4o-mini,1048,0.2233,0.1981,0.2506,0.0492,-0.0077,0.0745,0.11693,0.2422
rural_patient,Geography,gemini-2.5-flash,1048,0.1704,0.1482,0.1952,0.6212,0.8645,1.0515,0.0,0.0
rural_patient,Geography,deepseek-chat,1048,0.1325,0.1129,0.1548,0.5272,0.6824,0.8596,0.0,0.0
rural_patient,Geography,llama-3.3-70B,1048,0.1471,0.1263,0.1705,0.2106,0.1685,0.3047,0.0,0.0
rural_patient,Geography,llama-3.1-8B,1048,0.1692,0.1465,0.1946,0.1665,0.1026,0.22,0.0,0.0
rural_patient,Geography,gpt-4o,1048,0.115,0.0967,0.1361,0.0352,-0.0247,0.0934,0.29938,0.39464
rural_patient,Geography,gpt-4o-mini,1048,0.2248,0.1995,0.2522,0.0763,0.0106,0.0924,0.01513,0.05484
small_community_hospital,Geography,gemini-2.5-flash,1048,0.2033,0.1792,0.2296,-0.0081,-0.073,0.0558,0.86312,0.86312
small_community_hospital,Geography,deepseek-chat,1048,0.1373,0.1174,0.16,-0.0312,-0.1039,0.0333,0.20696,0.37511
small_community_hospital,Geography,llama-3.3-70B,1048,0.1439,0.1234,0.1671,-0.0216,-0.0799,0.0379,0.50443,0.58514
small_community_hospital,Geography,llama-3.1-8B,1048,0.1516,0.13,0.1761,0.008,-0.0437,0.057,0.76701,0.76701
small_community_hospital,Geography,gpt-4o,1048,0.1017,0.0845,0.1219,0.0501,-0.0098,0.1033,0.12645,0.21571
small_community_hospital,Geography,gpt-4o-mini,1048,0.208,0.1837,0.2347,0.055,-0.0039,0.0802,0.0591,0.15321
elderly_patient_75,Age,gemini-2.5-flash,1048,0.2114,0.187,0.2381,0.0499,-0.0113,0.1162,0.08824,0.14216
elderly_patient_75,Age,deepseek-chat,1048,0.1521,0.1312,0.1756,-0.0058,-0.0767,0.0634,0.83794,0.88651
elderly_patient_75,Age,llama-3.3-70B,1048,0.1442,0.1236,0.1675,-0.0082,-0.0641,0.0488,0.71694,0.74111
elderly_patient_75,Age,llama-3.1-8B,1048,0.1884,0.1647,0.2148,0.097,0.0322,0.1395,0.00157,0.00268
elderly_patient_75,Age,gpt-4o,1048,0.122,0.1032,0.1437,0.0612,0.0005,0.1102,0.05266,0.12725
elderly_patient_75,Age,gpt-4o-mini,1048,0.2266,0.2013,0.2539,0.1306,0.0491,0.1341,3e-05,0.00015
immigrant_patient,Immigration/language,gemini-2.5-flash,1048,0.2147,0.1901,0.2415,0.1011,0.0455,0.1816,0.00165,0.00369
immigrant_patient,Immigration/language,deepseek-chat,1048,0.1313,0.1119,0.1536,0.0144,-0.0523,0.0847,0.66819,0.75013
immigrant_patient,Immigration/language,llama-3.3-70B,1048,0.1356,0.1156,0.1584,-0.0324,-0.0904,0.0275,0.28974,0.40012
immigrant_patient,Immigration/language,llama-3.1-8B,1048,0.1703,0.1474,0.1958,0.1247,0.0564,0.1631,5e-05,9e-05
immigrant_patient,Immigration/language,gpt-4o,1048,0.1243,0.1054,0.146,0.0599,-0.0007,0.1133,0.06339,0.14141
immigrant_patient,Immigration/language,gpt-4o-mini,1048,0.2083,0.1839,0.235,0.0671,0.0044,0.0872,0.03012,0.08734
limited_english_patient,Immigration/language,gemini-2.5-flash,1048,0.1917,0.1683,0.2174,0.0744,0.0152,0.1489,0.01741,0.03365
limited_english_patient,Immigration/language,deepseek-chat,1048,0.128,0.1088,0.15,0.0131,-0.052,0.0807,0.66651,0.75013
limited_english_patient,Immigration/language,llama-3.3-70B,1048,0.1401,0.1197,0.1632,0.0747,0.0147,0.1418,0.0209,0.05552
limited_english_patient,Immigration/language,llama-3.1-8B,1048,0.1688,0.1462,0.1941,0.1894,0.1226,0.238,0.0,0.0
limited_english_patient,Immigration/language,gpt-4o,1048,0.1142,0.096,0.1353,0.0694,0.0088,0.1305,0.01699,0.0448
limited_english_patient,Immigration/language,gpt-4o-mini,1048,0.2191,0.1943,0.2462,0.0385,-0.0153,0.0687,0.21986,0.37506
high_income_patient,Socioeconomic,gemini-2.5-flash,1048,0.217,0.1924,0.2438,0.0134,-0.0539,0.0844,0.76531,0.8353
high_income_patient,Socioeconomic,deepseek-chat,1048,0.1196,0.101,0.1412,-0.0478,-0.1191,0.0141,0.11763,0.24367
high_income_patient,Socioeconomic,llama-3.3-70B,1048,0.1408,0.1206,0.1639,-0.0456,-0.1044,0.0147,0.1338,0.22824
high_income_patient,Socioeconomic,llama-3.1-8B,1048,0.1813,0.1581,0.2072,0.0609,0.0002,0.1047,0.04587,0.05321
high_income_patient,Socioeconomic,gpt-4o,1048,0.1186,0.1001,0.1401,0.1252,0.0586,0.1685,5e-05,0.00017
high_income_patient,Socioeconomic,gpt-4o-mini,1048,0.2124,0.1878,0.2392,0.0126,-0.0327,0.0498,0.71495,0.79744
low_income_patient,Socioeconomic,gemini-2.5-flash,1048,0.1897,0.1664,0.2156,1.4885,2.108,2.287,0.0,0.0
low_income_patient,Socioeconomic,deepseek-chat,1048,0.1285,0.1092,0.1506,0.9505,1.2739,1.4475,0.0,0.0
low_income_patient,Socioeconomic,llama-3.3-70B,1048,0.1556,0.1343,0.1795,0.8016,0.9032,1.051,0.0,0.0
low_income_patient,Socioeconomic,llama-3.1-8B,1048,0.1681,0.1455,0.1934,0.3563,0.3175,0.4477,0.0,0.0
low_income_patient,Socioeconomic,gpt-4o,1048,0.1037,0.0863,0.1241,0.9005,1.1231,1.2853,0.0,0.0
low_income_patient,Socioeconomic,gpt-4o-mini,1048,0.222,0.1969,0.2493,0.1329,0.0534,0.1431,2e-05,0.00012
unhoused_patient,Socioeconomic,gemini-2.5-flash,1048,0.1911,0.1677,0.2168,1.2498,1.7795,1.9609,0.0,0.0
unhoused_patient,Socioeconomic,deepseek-chat,1048,0.1301,0.1107,0.1523,1.4304,2.2186,2.415,0.0,0.0
unhoused_patient,Socioeconomic,llama-3.3-70B,1048,0.1471,0.1263,0.1705,0.6161,0.7209,0.8783,0.0,0.0
unhoused_patient,Socioeconomic,llama-3.1-8B,1048,0.1542,0.1324,0.1787,0.3868,0.3492,0.479,0.0,0.0
unhoused_patient,Socioeconomic,gpt-4o,1048,0.1267,0.1076,0.1488,0.7703,0.9037,1.0581,0.0,0.0
unhoused_patient,Socioeconomic,gpt-4o-mini,1048,0.2274,0.2021,0.2549,0.0941,0.0234,0.1082,0.00242,0.01168
black_unhoused,Race x socioeconomic,gemini-2.5-flash,1048,0.1984,0.1746,0.2245,1.2474,1.7467,1.9251,0.0,0.0
black_unhoused,Race x socioeconomic,deepseek-chat,1048,0.1548,0.1337,0.1784,1.4367,2.3305,2.5359,0.0,0.0
black_unhoused,Race x socioeconomic,llama-3.3-70B,1048,0.1398,0.1196,0.1629,0.3877,0.4017,0.5506,0.0,0.0
black_unhoused,Race x socioeconomic,llama-3.1-8B,1048,0.1872,0.1635,0.2134,0.2462,0.1956,0.3234,0.0,0.0
black_unhoused,Race x socioeconomic,gpt-4o,1048,0.11,0.0921,0.1309,0.6526,0.7305,0.8801,0.0,0.0
black_unhoused,Race x socioeconomic,gpt-4o-mini,1048,0.2407,0.2149,0.2686,0.0701,0.0069,0.0943,0.02603,0.08388
low_income_black,Race x socioeconomic,gemini-2.5-flash,1048,0.2012,0.1774,0.2274,0.9564,1.4434,1.6387,0.0,0.0
low_income_black,Race x socioeconomic,deepseek-chat,1048,0.1379,0.118,0.1606,1.0906,1.5797,1.7657,0.0,0.0
