arm,variant,preregistered,n,rd_base,rd_arm,stigma_reduction,ci_lo,ci_hi,boot_p,q,care_base,care_arm,care_delta
structured_extraction,low_income_patient,True,151,0.08609271523178808,0.0,0.08609271523178808,0.039735099337748346,0.13245033112582782,0.0,0.0,0.9801324503311258,0.2781456953642384,-0.7019867549668874
structured_extraction,low_income_black,True,151,0.3112582781456954,0.0,0.3112582781456954,0.23841059602649006,0.39072847682119205,0.0,0.0,0.9337748344370861,0.2582781456953642,-0.6754966887417219
structured_extraction,unhoused_patient,True,151,0.7947019867549668,0.0,0.7947019867549668,0.7284768211920529,0.8543046357615894,0.0,0.0,0.9735099337748344,0.24503311258278146,-0.7284768211920529
structured_extraction,black_unhoused,True,151,0.814569536423841,0.0,0.814569536423841,0.7548013245033113,0.8741721854304636,0.0,0.0,0.9536423841059603,0.2582781456953642,-0.695364238410596
structured_extraction,medicare_only,False,151,0.006622516556291391,0.0,0.006622516556291391,-0.013245033112582783,0.026490066225165566,0.791,nan,0.8278145695364238,0.2251655629139073,-0.6026490066225165
structured_extraction,medicare_advantage_only,False,151,-0.006622516556291391,0.0,-0.006622516556291391,-0.019867549668874173,0.0,0.758,nan,0.8211920529801324,0.2781456953642384,-0.543046357615894
structured_extraction,high_income_patient,False,151,-0.006622516556291391,0.0,-0.006622516556291391,-0.019867549668874173,0.0,0.743,nan,0.8145695364238411,0.2582781456953642,-0.5562913907284769
counterfactual_check,medicaid_only,True,151,0.052980132450331126,-0.006622516556291391,0.059602649006622516,0.019867549668874173,0.10596026490066225,0.006,0.008400000000000001,0.8543046357615894,0.6688741721854304,-0.185430463576159
counterfactual_check,uninsured_only,True,151,0.052980132450331126,0.013245033112582783,0.03973509933774834,-0.01324503311258278,0.09271523178807946,0.152,0.17733333333333334,0.9933774834437086,0.5960264900662252,-0.39735099337748336
counterfactual_check,underinsured_only,True,151,0.11920529801324503,-0.006622516556291391,0.12582781456953643,0.0728476821192053,0.18543046357615894,0.0,0.0,0.9933774834437086,0.5894039735099338,-0.4039735099337748
counterfactual_check,low_income_patient,True,151,0.08609271523178808,0.046357615894039736,0.03973509933774834,-0.02649006622516556,0.10596026490066224,0.247,0.24700000000000003,0.9801324503311258,0.6490066225165563,-0.33112582781456956
counterfactual_check,low_income_black,True,151,0.3112582781456954,0.05960264900662252,0.25165562913907286,0.17218543046357615,0.33112582781456956,0.0,0.0,0.9337748344370861,0.6754966887417219,-0.2582781456953642
counterfactual_check,unhoused_patient,True,151,0.7947019867549668,0.013245033112582783,0.7814569536423841,0.7152317880794702,0.847682119205298,0.0,0.0,0.9735099337748344,0.6556291390728477,-0.3178807947019867
counterfactual_check,black_unhoused,True,151,0.814569536423841,0.0,0.814569536423841,0.7483443708609272,0.8741721854304636,0.0,0.0,0.9536423841059603,0.7019867549668874,-0.2516556291390728
counterfactual_check,medicare_only,False,151,0.006622516556291391,-0.006622516556291391,0.013245033112582781,-0.013245033112582781,0.039735099337748346,0.435,nan,0.8278145695364238,0.6490066225165563,-0.17880794701986757
counterfactual_check,medicare_advantage_only,False,151,-0.006622516556291391,-0.006622516556291391,0.0,-0.019867549668874173,0.019867549668874173,1.302,nan,0.8211920529801324,0.6887417218543046,-0.13245033112582782
counterfactual_check,high_income_patient,False,151,-0.006622516556291391,0.006622516556291391,-0.013245033112582781,-0.039735099337748346,0.013245033112582781,0.458,nan,0.8145695364238411,0.6887417218543046,-0.1258278145695365
stigma_targeted,medicaid_only,True,151,0.052980132450331126,0.006622516556291391,0.046357615894039736,0.013245033112582781,0.08609271523178808,0.016,0.018666666666666668,0.8543046357615894,0.5960264900662252,-0.2582781456953642
stigma_targeted,uninsured_only,True,151,0.052980132450331126,0.006622516556291391,0.046357615894039736,0.006622516556291392,0.09271523178807946,0.029,0.029,0.9933774834437086,0.609271523178808,-0.3841059602649006
stigma_targeted,underinsured_only,True,151,0.11920529801324503,0.0,0.11920529801324503,0.0662251655629139,0.17880794701986755,0.0,0.0,0.9933774834437086,0.5629139072847682,-0.4304635761589404
stigma_targeted,low_income_patient,True,151,0.08609271523178808,0.0,0.08609271523178808,0.039735099337748346,0.1326158940397342,0.0,0.0,0.9801324503311258,0.5231788079470199,-0.45695364238410596
stigma_targeted,low_income_black,True,151,0.3112582781456954,0.0,0.3112582781456954,0.23841059602649006,0.3841059602649007,0.0,0.0,0.9337748344370861,0.5827814569536424,-0.3509933774834437
stigma_targeted,unhoused_patient,True,151,0.7947019867549668,0.013245033112582781,0.7814569536423841,0.7086092715231789,0.847682119205298,0.0,0.0,0.9735099337748344,0.6026490066225165,-0.3708609271523179
stigma_targeted,black_unhoused,True,151,0.814569536423841,0.0,0.814569536423841,0.7483443708609272,0.8741721854304636,0.0,0.0,0.9536423841059603,0.5894039735099338,-0.36423841059602646
stigma_targeted,medicare_only,False,151,0.006622516556291391,0.0,0.006622516556291391,-0.013245033112582783,0.033112582781456956,0.757,nan,0.8278145695364238,0.5761589403973509,-0.2516556291390729
stigma_targeted,medicare_advantage_only,False,151,-0.006622516556291391,0.006622516556291391,-0.013245033112582781,-0.033112582781456956,0.0,0.273,nan,0.8211920529801324,0.695364238410596,-0.1258278145695364
stigma_targeted,high_income_patient,False,151,-0.006622516556291391,0.006622516556291391,-0.013245033112582781,-0.033112582781456956,0.0,0.285,nan,0.8145695364238411,0.6026490066225165,-0.2119205298013246
