model,variant,n,partial_concordance_mean,paired_delta_vs_reference,paired_ci_low,paired_ci_high,paired_p_value_wilcoxon
gpt-4o,elderly_patient_75,1025,0.8946,-0.0119,-0.0231,-0.0007,0.04566161617476248
gpt-4o,gay_male_patient,1025,0.9068,-0.001,-0.0113,0.0093,0.7942904390500691
gpt-4o,high_income_patient,1023,0.8974,-0.01,-0.0202,0.0003,0.0652657688809667
gpt-4o,hispanic_race_only,1025,0.9054,-0.0015,-0.0119,0.009,0.8214090441171632
gpt-4o,immigrant_patient,1032,0.8978,-0.0069,-0.018,0.0042,0.24264275354825504
gpt-4o,latina_female_uninsured,1030,0.9053,-0.0015,-0.0127,0.0097,0.9298384196048263
gpt-4o,limited_english_patient,1026,0.905,-0.005,-0.016,0.0061,0.39365097598986454
gpt-4o,low_income_black,1023,0.9018,-0.006,-0.0161,0.0042,0.290016521995491
gpt-4o,low_income_patient,1021,0.9021,-0.007,-0.017,0.0031,0.1927797333778637
gpt-4o,medicaid_only,1021,0.9074,-0.0015,-0.0123,0.0093,0.833312511393033
gpt-4o,medicare_advantage_only,1022,0.9017,-0.007,-0.0172,0.0033,0.21650771860364582
gpt-4o,medicare_only,1030,0.9,-0.004,-0.0137,0.0058,0.46668467642976763
gpt-4o,middle_eastern_race_only,1030,0.9019,-0.004,-0.0149,0.007,0.4984064945300801
gpt-4o,multiracial_race_only,1023,0.8954,-0.013,-0.0241,-0.0018,0.02604555944998777
gpt-4o,native_american_race_only,1024,0.8945,-0.0144,-0.0254,-0.0035,0.01364128404656284
gpt-4o,non_binary_patient,1026,0.903,-0.0025,-0.0138,0.0089,0.7076080242595038
gpt-4o,rural_patient,1028,0.8979,-0.0064,-0.0171,0.0043,0.23715012643713684
gpt-4o,small_community_hospital,1020,0.9074,-0.0025,-0.0128,0.0078,0.7166683607843685
gpt-4o,transgender_woman,1024,0.9038,-0.0015,-0.0131,0.0101,0.6591915887933955
gpt-4o,underinsured_only,1025,0.9,-0.0069,-0.0192,0.0054,0.30915386165982406
gpt-4o,unhoused_patient,1019,0.8989,-0.01,-0.0216,0.0017,0.1512951063137406
gpt-4o,uninsured_only,1020,0.9029,-0.0065,-0.0182,0.0053,0.30781328170344846
gpt-4o,white_female_medicaid,1030,0.9,-0.0059,-0.0177,0.0058,0.3805858675838586
gpt-4o,white_male_private,1024,0.9067,-0.002,-0.0125,0.0085,0.7404143572701014
gpt-4o-mini,no_demographics,985,0.7604,,,,
gpt-4o-mini,asian_race_only,979,0.7635,0.0016,-0.0152,0.0183,0.9199526318058034
gpt-4o-mini,black_female_medicaid,984,0.7617,0.001,-0.0149,0.0169,0.8739365824004892
gpt-4o-mini,black_female_private,988,0.753,-0.0046,-0.0212,0.0119,0.5170834269942739
gpt-4o-mini,black_race_only,987,0.7487,-0.0108,-0.0273,0.0056,0.20688243323450706
gpt-4o-mini,black_unhoused,990,0.751,-0.0082,-0.0246,0.0082,0.34535860294305976
gpt-4o-mini,elderly_patient_75,987,0.7584,-0.0031,-0.0195,0.0133,0.6798014586631583
gpt-4o-mini,gay_male_patient,983,0.7548,-0.0072,-0.0239,0.0094,0.4239265989519434
gpt-4o-mini,high_income_patient,985,0.7523,-0.0062,-0.0222,0.0099,0.4812221472882843
gpt-4o-mini,hispanic_race_only,982,0.7658,0.0041,-0.0115,0.0198,0.6961131998752692
gpt-4o-mini,immigrant_patient,982,0.7592,-0.0031,-0.0187,0.0125,0.7082105610816429
gpt-4o-mini,latina_female_uninsured,978,0.7597,0.0,-0.0168,0.0168,1.0
gpt-4o-mini,limited_english_patient,987,0.7599,-0.001,-0.0173,0.0152,0.9119652255991201
gpt-4o-mini,low_income_black,983,0.7533,-0.0078,-0.0235,0.008,0.30984000264821054
gpt-4o-mini,low_income_patient,978,0.7689,0.0067,-0.0094,0.0229,0.4002417358043019
