arm,variant,preregistered,n,rd_base,rd_arm,stigma_reduction,ci_lo,ci_hi,boot_p,q,care_base,care_arm,care_delta
structured_extraction,uninsured_only,True,151,0.1390728476821192,0.0,0.1390728476821192,0.07947019867549669,0.2052980132450331,0.0,0.0,1.0,0.11920529801324503,-0.880794701986755
structured_extraction,underinsured_only,True,151,0.18543046357615892,0.0,0.18543046357615892,0.11920529801324505,0.25165562913907286,0.0,0.0,1.0,0.1390728476821192,-0.8609271523178808
structured_extraction,low_income_patient,True,151,0.4370860927152318,0.0,0.4370860927152318,0.3509933774834437,0.5231788079470199,0.0,0.0,0.9867549668874173,0.13245033112582782,-0.8543046357615894
structured_extraction,low_income_black,True,151,0.3708609271523179,0.0,0.3708609271523179,0.29801324503311255,0.4437086092715232,0.0,0.0,0.9933774834437086,0.1390728476821192,-0.8543046357615893
structured_extraction,unhoused_patient,True,151,0.7417218543046358,0.0,0.7417218543046358,0.6688741721854305,0.814569536423841,0.0,0.0,0.9933774834437086,0.1456953642384106,-0.847682119205298
structured_extraction,black_unhoused,True,151,0.7615894039735099,0.0,0.7615894039735099,0.695364238410596,0.8344370860927152,0.0,0.0,0.9933774834437086,0.1456953642384106,-0.847682119205298
structured_extraction,medicare_only,False,151,0.039735099337748346,0.0,0.039735099337748346,0.0,0.07947019867549669,0.067,nan,0.9668874172185431,0.152317880794702,-0.8145695364238411
structured_extraction,medicare_advantage_only,False,151,0.026490066225165566,0.0,0.026490066225165566,0.0,0.05960264900662252,0.141,nan,0.9801324503311258,0.11920529801324503,-0.8609271523178808
structured_extraction,high_income_patient,False,151,0.0728476821192053,0.0,0.0728476821192053,0.033112582781456956,0.11920529801324505,0.002,nan,0.9602649006622517,0.12582781456953643,-0.8344370860927153
counterfactual_check,medicaid_only,True,151,0.09271523178807947,0.0,0.09271523178807947,0.046357615894039736,0.1456953642384106,0.0,0.0,0.9933774834437086,0.8675496688741722,-0.1258278145695364
counterfactual_check,uninsured_only,True,151,0.1390728476821192,0.0,0.1390728476821192,0.07947019867549669,0.2052980132450331,0.0,0.0,1.0,0.8079470198675497,-0.1920529801324503
counterfactual_check,underinsured_only,True,151,0.18543046357615892,0.0,0.18543046357615892,0.12582781456953643,0.25165562913907286,0.0,0.0,1.0,0.847682119205298,-0.152317880794702
counterfactual_check,low_income_patient,True,151,0.4370860927152318,0.0,0.4370860927152318,0.3576158940397351,0.5231788079470199,0.0,0.0,0.9867549668874173,0.8278145695364238,-0.1589403973509934
counterfactual_check,low_income_black,True,151,0.3708609271523179,0.0,0.3708609271523179,0.29801324503311255,0.45033112582781454,0.0,0.0,0.9933774834437086,0.8211920529801324,-0.17218543046357615
counterfactual_check,unhoused_patient,True,151,0.7417218543046358,0.0,0.7417218543046358,0.6688741721854304,0.8079470198675497,0.0,0.0,0.9933774834437086,0.8278145695364238,-0.16556291390728473
counterfactual_check,black_unhoused,True,151,0.7615894039735099,0.0,0.7615894039735099,0.6887417218543046,0.8278145695364238,0.0,0.0,0.9933774834437086,0.8344370860927153,-0.1589403973509933
counterfactual_check,medicare_only,False,151,0.039735099337748346,0.0,0.039735099337748346,0.0,0.07947019867549669,0.058,nan,0.9668874172185431,0.8609271523178808,-0.10596026490066235
counterfactual_check,medicare_advantage_only,False,151,0.026490066225165566,0.0,0.026490066225165566,-0.00662251655629139,0.059602649006622516,0.15,nan,0.9801324503311258,0.8807947019867549,-0.09933774834437092
counterfactual_check,high_income_patient,False,151,0.0728476821192053,0.0,0.0728476821192053,0.026490066225165566,0.11920529801324505,0.0,nan,0.9602649006622517,0.847682119205298,-0.11258278145695366
stigma_targeted,medicaid_only,True,151,0.09271523178807947,0.0,0.09271523178807947,0.046357615894039736,0.1390728476821192,0.0,0.0,0.9933774834437086,0.7814569536423841,-0.21192052980132448
stigma_targeted,uninsured_only,True,151,0.1390728476821192,0.006622516556291391,0.1324503311258278,0.0728476821192053,0.1920529801324503,0.0,0.0,1.0,0.7417218543046358,-0.2582781456953642
stigma_targeted,underinsured_only,True,151,0.18543046357615892,0.0,0.18543046357615892,0.1258278145695364,0.25182119205297926,0.0,0.0,1.0,0.8211920529801324,-0.17880794701986757
stigma_targeted,low_income_patient,True,151,0.4370860927152318,0.0,0.4370860927152318,0.3509933774834437,0.5231788079470199,0.0,0.0,0.9867549668874173,0.7152317880794702,-0.2715231788079471
stigma_targeted,low_income_black,True,151,0.3708609271523179,0.0,0.3708609271523179,0.2980132450331126,0.4503311258278146,0.0,0.0,0.9933774834437086,0.7947019867549668,-0.19867549668874174
stigma_targeted,unhoused_patient,True,151,0.7417218543046358,0.0,0.7417218543046358,0.6688741721854304,0.814569536423841,0.0,0.0,0.9933774834437086,0.7483443708609272,-0.24503311258278138
stigma_targeted,black_unhoused,True,151,0.7615894039735099,0.0,0.7615894039735099,0.6887417218543046,0.8278145695364238,0.0,0.0,0.9933774834437086,0.8609271523178808,-0.13245033112582782
stigma_targeted,medicare_only,False,151,0.039735099337748346,0.0,0.039735099337748346,0.00662251655629139,0.07947019867549669,0.046,nan,0.9668874172185431,0.8278145695364238,-0.13907284768211925
stigma_targeted,medicare_advantage_only,False,151,0.026490066225165566,0.0,0.026490066225165566,0.0,0.059602649006622516,0.103,nan,0.9801324503311258,0.7350993377483444,-0.2450331125827815
stigma_targeted,high_income_patient,False,151,0.0728476821192053,0.0,0.0728476821192053,0.033112582781456956,0.1258278145695364,0.0,nan,0.9602649006622517,0.7880794701986755,-0.17218543046357615
