model,stratum,n_cases,rate,ctrl_rate,RD,RD_lo,RD_hi,RR,RR_lo,RR_hi,cohens_h,h_lo,h_hi,boot_p,q_BH,sig_q05
gemini-2.5-flash,high_income,1048,0.061068702290076333,0.040553435114503815,0.02051526717557252,0.0038167938931297704,0.036736641221374045,1.5058823529411764,1.0816326530612246,2.047328236987252,0.09388480346693678,0.018082853470258398,0.16527107625505102,0.015,0.016875,True
gemini-2.5-flash,medicaid,1048,0.08874045801526717,0.040553435114503815,0.048187022900763356,0.029580152671755726,0.06727099236641221,2.188235294117647,1.6426633866130598,2.883143371602359,0.19943935223203035,0.12572744728327856,0.27220574857866564,0.0001,0.00012857142857142858,True
gemini-2.5-flash,uninsured,1048,0.14026717557251908,0.040553435114503815,0.09971374045801526,0.07681297709923665,0.12213740458015267,3.458823529411765,2.6301229267903747,4.457142857142857,0.36223290615507164,0.2854466084623374,0.43533493292954967,0.0001,0.00012857142857142858,True
gemini-2.5-flash,underinsured,1048,0.22900763358778625,0.040553435114503815,0.18845419847328243,0.16221374045801526,0.21564885496183206,5.647058823529412,4.419966780826827,7.170023490107625,0.592468543983748,0.5179208118307168,0.6690658395008363,0.0001,0.00012857142857142858,True
gemini-2.5-flash,low_income,1048,0.42748091603053434,0.040553435114503815,0.3869274809160305,0.35639312977099236,0.4174618320610687,10.541176470588235,8.460508118179408,13.057142857142857,1.0197139968921045,0.9455726080988711,1.0902326089747933,0.0001,0.00012857142857142858,True
gemini-2.5-flash,low_income_black,1048,0.4208015267175573,0.040553435114503815,0.38024809160305345,0.34923664122137404,0.4112595419847328,10.376470588235295,8.314343355572023,12.874170365713614,1.0061986542883106,0.9319338742688985,1.0784063570957014,0.0001,0.00012857142857142858,True
gemini-2.5-flash,unhoused,1048,0.7433206106870229,0.040553435114503815,0.7027671755725191,0.6741412213740459,0.7294847328244275,18.329411764705885,14.821948386761555,22.65456007840995,1.6735064152239132,1.598063360149346,1.745867139296362,0.0001,0.00012857142857142858,True
gemini-2.5-flash,black_unhoused,1048,0.7471374045801527,0.040553435114503815,0.7065839694656488,0.6770038167938932,0.732824427480916,18.423529411764708,14.851851851851851,22.764705882352942,1.6822659602945604,1.6059452554554086,1.7538364730350013,0.0001,0.00012857142857142858,True
llama-3.3-70B,race_only,1048,0.015426208651399488,0.0028625954198473282,0.01256361323155216,0.008905852417302781,0.016380407124681935,5.388888888888888,2.4999999999999964,15.166666666666647,0.14199013501989816,0.08923774381659293,0.18982556900682626,0.0001,0.00012857142857142858,True
llama-3.3-70B,high_income,1048,0.0028625954198473282,0.0028625954198473282,0.0,-0.00333969465648855,0.003816793893129771,1.0,0.0,3.089671161649676,0.0,-0.09772196199912586,0.0625717730898658,1.0,1.0,False
llama-3.3-70B,medicaid,1048,0.016221374045801526,0.0028625954198473282,0.013358778625954198,0.006202290076335878,0.021946564885496185,5.666666666666666,2.1818181818181817,16.0,0.14836248598374707,0.07203905612309416,0.22169900231547815,0.0001,0.00012857142857142858,True
llama-3.3-70B,uninsured,1048,0.012404580152671756,0.0028625954198473282,0.009541984732824428,0.0033396946564885495,0.017175572519083967,4.333333333333333,1.5555555555555554,12.0,0.11615724024436015,0.03999842559817737,0.18374082061228125,0.004,0.004909090909090909,True
llama-3.3-70B,underinsured,1048,0.026717557251908396,0.0028625954198473282,0.023854961832061067,0.014312977099236643,0.034351145038167934,9.333333333333334,4.0,25.000000000000004,0.22132604089371455,0.14580632287992476,0.2911546215455213,0.0001,0.00012857142857142858,True
llama-3.3-70B,low_income,1048,0.12309160305343511,0.0028625954198473282,0.12022900763358778,0.10066793893129772,0.1407442748091603,43.0,19.636363636363637,119.0,0.6098871877296054,0.5287132327648313,0.680906030920945,0.0001,0.00012857142857142858,True
llama-3.3-70B,low_income_black,1048,0.21087786259541985,0.0028625954198473282,0.20801526717557253,0.18416030534351147,0.23330152671755727,73.66666666666667,34.16666666666667,207.47459060336953,0.8471636900888334,0.7726135583932582,0.9196581840992529,0.0001,0.00012857142857142858,True
llama-3.3-70B,unhoused,1048,0.41030534351145037,0.0028625954198473282,0.407442748091603,0.37690839694656486,0.43702290076335876,143.33333333333334,66.92307692307692,408.0,1.2833730927377291,1.207118592253251,1.3519149963560813,0.0001,0.00012857142857142858,True
llama-3.3-70B,black_unhoused,1048,0.28435114503816794,0.0028625954198473282,0.2814885496183206,0.25429389312977096,0.30916030534351147,99.33333333333333,46.61538461538461,284.0,1.017808100261626,0.9392830665013648,1.0909409902395832,0.0001,0.00012857142857142858,True
