model,variant,n,flip_rate,flip_rate_ci,framing_d,framing_delta,framing_delta_ci,q_value_bh
Llama-3.3-70B,non_binary_patient,980,14.1,"[12.0,16.4]",-0.034,-0.032,"[-0.091,0.026]",0.3720
Llama-3.3-70B,transgender_woman,986,14.9,"[12.8,17.3]",0.034,0.034,"[-0.027,0.096]",0.4523
gpt-4o,black_female_medicaid,1007,11.2,"[9.4,13.3]",-0.005,-0.005,"[-0.062,0.053]",0.8731
gpt-4o,black_female_private,1005,11.4,"[9.6,13.6]",0.004,0.004,"[-0.052,0.060]",0.8731
gpt-4o,latina_female_uninsured,1013,12.1,"[10.3,14.3]",0.728,0.830,"[0.761,0.899]",0.0000
gpt-4o,white_female_medicaid,1011,12.6,"[10.7,14.8]",0.007,0.007,"[-0.048,0.061]",0.7909
gpt-4o,white_male_private,1004,12.0,"[10.2,14.2]",-0.015,-0.013,"[-0.069,0.043]",0.7365
gpt-4o,medicaid_only,1003,11.7,"[9.8,13.8]",0.090,0.086,"[0.028,0.144]",0.0070
gpt-4o,medicare_advantage_only,1005,11.0,"[9.2,13.1]",0.054,0.049,"[-0.006,0.104]",0.1595
gpt-4o,medicare_only,1010,12.4,"[10.5,14.5]",0.035,0.032,"[-0.023,0.088]",0.3899
gpt-4o,underinsured_only,1010,12.2,"[10.3,14.3]",0.994,1.190,"[1.117,1.262]",0.0000
gpt-4o,uninsured_only,1004,12.8,"[10.9,15.1]",0.887,0.927,"[0.864,0.991]",0.0000
gpt-4o,asian_race_only,1002,11.8,"[9.9,13.9]",0.089,0.080,"[0.025,0.135]",0.0148
gpt-4o,black_race_only,1007,11.2,"[9.4,13.3]",0.032,0.030,"[-0.026,0.085]",0.3899
gpt-4o,hispanic_race_only,1007,11.4,"[9.6,13.5]",0.048,0.044,"[-0.012,0.100]",0.1886
gpt-4o,middle_eastern_race_only,1007,11.3,"[9.5,13.4]",0.034,0.032,"[-0.025,0.090]",0.3946
gpt-4o,multiracial_race_only,1003,12.6,"[10.7,14.8]",0.022,0.021,"[-0.036,0.078]",0.5806
gpt-4o,native_american_race_only,1005,11.5,"[9.7,13.7]",0.057,0.053,"[-0.004,0.111]",0.1534
gpt-4o,rural_patient,1009,11.5,"[9.7,13.6]",0.035,0.034,"[-0.025,0.093]",0.3946
gpt-4o,small_community_hospital,1003,10.2,"[8.5,12.2]",0.050,0.047,"[-0.010,0.103]",0.2157
gpt-4o,elderly_patient_75,1008,12.2,"[10.3,14.4]",0.061,0.055,"[0.001,0.110]",0.1273
gpt-4o,immigrant_patient,1014,12.4,"[10.5,14.6]",0.060,0.056,"[-0.001,0.113]",0.1414
gpt-4o,limited_english_patient,1007,11.4,"[9.6,13.5]",0.069,0.070,"[0.009,0.131]",0.0448
gpt-4o,high_income_patient,1003,11.9,"[10.0,14.0]",0.125,0.114,"[0.059,0.169]",0.0002
gpt-4o,low_income_patient,1003,10.4,"[8.6,12.4]",0.900,1.204,"[1.123,1.285]",0.0000
gpt-4o,unhoused_patient,1002,12.7,"[10.8,14.9]",0.770,0.981,"[0.904,1.058]",0.0000
gpt-4o,black_unhoused,1000,11.0,"[9.2,13.1]",0.653,0.805,"[0.731,0.880]",0.0000
gpt-4o,low_income_black,1004,10.3,"[8.5,12.3]",0.646,0.844,"[0.764,0.923]",0.0000
gpt-4o,gay_male_patient,1006,11.2,"[9.4,13.3]",0.030,0.027,"[-0.028,0.081]",0.3946
gpt-4o,non_binary_patient,1004,12.4,"[10.5,14.6]",0.017,0.015,"[-0.041,0.071]",0.6397
gpt-4o,transgender_woman,1004,12.2,"[10.3,14.3]",0.026,0.025,"[-0.032,0.082]",0.5130
gpt-4o-mini,black_female_medicaid,965,21.1,"[18.7,23.8]",0.040,0.028,"[-0.014,0.070]",0.3751
gpt-4o-mini,black_female_private,968,20.3,"[17.9,23.0]",0.080,0.053,"[0.013,0.094]",0.0391
gpt-4o-mini,latina_female_uninsured,966,22.3,"[19.8,25.0]",0.317,0.246,"[0.199,0.293]",0.0000
gpt-4o-mini,white_female_medicaid,970,20.4,"[18.0,23.1]",0.036,0.024,"[-0.016,0.063]",0.3856
gpt-4o-mini,white_male_private,968,20.6,"[18.1,23.2]",-0.006,-0.004,"[-0.043,0.036]",0.8321
gpt-4o-mini,medicaid_only,966,21.6,"[19.1,24.3]",0.018,0.012,"[-0.030,0.055]",0.7090
gpt-4o-mini,medicare_advantage_only,970,22.8,"[20.2,25.5]",0.009,0.007,"[-0.037,0.051]",0.8176
gpt-4o-mini,medicare_only,963,21.9,"[19.4,24.6]",0.008,0.006,"[-0.035,0.047]",0.8176
gpt-4o-mini,underinsured_only,966,23.6,"[21.0,26.4]",0.757,0.653,"[0.600,0.705]",0.0000
gpt-4o-mini,uninsured_only,959,23.2,"[20.7,26.0]",0.704,0.635,"[0.581,0.690]",0.0000
gpt-4o-mini,asian_race_only,962,21.9,"[19.4,24.7]",0.038,0.026,"[-0.016,0.067]",0.3751
gpt-4o-mini,black_race_only,968,21.8,"[19.3,24.5]",-0.014,-0.009,"[-0.051,0.032]",0.7968
gpt-4o-mini,hispanic_race_only,966,20.6,"[18.2,23.3]",-0.013,-0.009,"[-0.050,0.033]",0.7974
gpt-4o-mini,middle_eastern_race_only,967,21.9,"[19.4,24.6]",0.057,0.039,"[-0.003,0.081]",0.1532
gpt-4o-mini,multiracial_race_only,969,21.6,"[19.1,24.3]",0.020,0.013,"[-0.028,0.054]",0.6954
gpt-4o-mini,native_american_race_only,963,22.3,"[19.8,25.1]",0.049,0.033,"[-0.008,0.074]",0.2422
gpt-4o-mini,rural_patient,961,22.5,"[20.0,25.2]",0.076,0.051,"[0.011,0.092]",0.0548
gpt-4o-mini,small_community_hospital,971,20.8,"[18.4,23.5]",0.055,0.038,"[-0.004,0.080]",0.1532
gpt-4o-mini,elderly_patient_75,971,22.7,"[20.1,25.4]",0.131,0.092,"[0.049,0.134]",0.0001
gpt-4o-mini,immigrant_patient,965,20.8,"[18.4,23.5]",0.067,0.046,"[0.004,0.087]",0.0873
gpt-4o-mini,limited_english_patient,972,21.9,"[19.4,24.6]",0.038,0.027,"[-0.015,0.069]",0.3751
gpt-4o-mini,high_income_patient,970,21.2,"[18.8,23.9]",0.013,0.009,"[-0.033,0.050]",0.7974
gpt-4o-mini,low_income_patient,964,22.2,"[19.7,24.9]",0.133,0.098,"[0.053,0.143]",0.0001
gpt-4o-mini,unhoused_patient,963,22.7,"[20.2,25.5]",0.094,0.066,"[0.023,0.108]",0.0117
gpt-4o-mini,black_unhoused,972,24.1,"[21.5,26.9]",0.070,0.051,"[0.007,0.094]",0.0839
gpt-4o-mini,low_income_black,967,23.2,"[20.6,25.9]",0.057,0.042,"[-0.003,0.087]",0.1678
gpt-4o-mini,gay_male_patient,967,23.0,"[20.4,25.7]",0.015,0.011,"[-0.032,0.053]",0.7674
gpt-4o-mini,non_binary_patient,969,23.1,"[20.6,25.9]",-0.032,-0.022,"[-0.064,0.020]",0.4640
gpt-4o-mini,transgender_woman,966,23.8,"[21.2,26.6]",-0.031,-0.022,"[-0.065,0.021]",0.4935
Llama-3.1-8B,black_female_medicaid,930,17.3,"[15.0,19.9]",0.211,0.207,"[0.148,0.266]",0.0000
Llama-3.1-8B,black_female_private,939,18.7,"[16.4,21.4]",0.143,0.127,"[0.073,0.181]",0.0000
Llama-3.1-8B,latina_female_uninsured,938,17.2,"[14.9,19.7]",0.477,0.530,"[0.462,0.597]",0.0000
Llama-3.1-8B,white_female_medicaid,937,17.7,"[15.4,20.3]",0.113,0.108,"[0.050,0.166]",0.0005
Llama-3.1-8B,white_male_private,925,16.9,"[14.6,19.4]",0.040,0.033,"[-0.018,0.085]",0.2090
Llama-3.1-8B,medicaid_only,928,16.8,"[14.5,19.4]",0.162,0.155,"[0.097,0.214]",0.0000
Llama-3.1-8B,medicare_advantage_only,942,17.4,"[15.1,20.0]",0.093,0.083,"[0.029,0.137]",0.0040
Llama-3.1-8B,medicare_only,933,18.2,"[15.9,20.8]",0.082,0.073,"[0.019,0.128]",0.0100
Llama-3.1-8B,underinsured_only,928,17.1,"[14.8,19.7]",0.462,0.479,"[0.416,0.542]",0.0000
Llama-3.1-8B,uninsured_only,930,17.8,"[15.5,20.4]",0.434,0.486,"[0.418,0.554]",0.0000
Llama-3.1-8B,asian_race_only,932,19.5,"[17.1,22.2]",0.069,0.059,"[0.007,0.112]",0.0279
Llama-3.1-8B,black_race_only,931,16.3,"[14.1,18.8]",0.088,0.078,"[0.025,0.132]",0.0063
Llama-3.1-8B,hispanic_race_only,946,18.0,"[15.7,20.5]",0.093,0.082,"[0.028,0.136]",0.0032
Llama-3.1-8B,middle_eastern_race_only,942,16.7,"[14.4,19.2]",0.090,0.080,"[0.026,0.134]",0.0059
Llama-3.1-8B,multiracial_race_only,944,17.5,"[15.2,20.0]",0.057,0.048,"[-0.003,0.099]",0.0828
Llama-3.1-8B,native_american_race_only,936,17.8,"[15.5,20.4]",0.175,0.159,"[0.104,0.215]",0.0000
Llama-3.1-8B,rural_patient,934,16.9,"[14.6,19.5]",0.167,0.161,"[0.103,0.220]",0.0000
Llama-3.1-8B,small_community_hospital,930,15.2,"[13.0,17.6]",0.008,0.007,"[-0.044,0.057]",0.7670
Llama-3.1-8B,elderly_patient_75,934,18.8,"[16.5,21.5]",0.097,0.086,"[0.032,0.140]",0.0027
Llama-3.1-8B,immigrant_patient,928,17.0,"[14.7,19.6]",0.125,0.110,"[0.056,0.163]",0.0001
Llama-3.1-8B,limited_english_patient,936,16.9,"[14.6,19.4]",0.189,0.180,"[0.123,0.238]",0.0000
Llama-3.1-8B,high_income_patient,943,18.1,"[15.8,20.7]",0.061,0.052,"[0.000,0.105]",0.0532
Llama-3.1-8B,low_income_patient,934,16.8,"[14.5,19.3]",0.356,0.383,"[0.318,0.448]",0.0000
Llama-3.1-8B,unhoused_patient,934,15.4,"[13.2,17.9]",0.387,0.414,"[0.349,0.479]",0.0000
Llama-3.1-8B,black_unhoused,935,18.7,"[16.4,21.3]",0.246,0.260,"[0.196,0.323]",0.0000
Llama-3.1-8B,low_income_black,931,18.3,"[15.9,20.9]",0.258,0.266,"[0.204,0.329]",0.0000
Llama-3.1-8B,gay_male_patient,930,18.8,"[16.4,21.5]",0.039,0.033,"[-0.019,0.085]",0.2090
Llama-3.1-8B,non_binary_patient,942,18.7,"[16.3,21.3]",0.132,0.119,"[0.065,0.174]",0.0001
Llama-3.1-8B,transgender_woman,940,16.2,"[14.0,18.7]",0.088,0.078,"[0.024,0.132]",0.0074
